line.id phenotype sex
line_153 0.172 m
line_153 0.206 m
line_153 0.227 m
line_153 0.198 m
line_153 0.211 m
line_195 0.16 m
line_195 0.169 m
line_195 0.166 m
line_195 0.167 m
line_195 0.18 m
line_805 0.187 m
line_805 0.189 m
line_805 0.178 m
line_805 0.157 m
line_805 0.184 m
line_181 0.13 m
line_181 0.141 m
line_181 0.132 m
line_181 0.139 m
line_181 0.109 m
line_306 0.233 m
line_306 0.201 m
line_306 0.184 m
line_306 0.217 m
line_306 0.212 m
line_149 0.18 m
line_149 0.151 m
line_149 0.176 m
line_149 0.208 m
line_149 0.2 m
line_765 0.154 m
line_765 0.152 m
line_765 0.16 m
line_765 0.153 m
line_765 0.178 m
line_40 0.221 m
line_40 0.161 m
line_40 0.151 m
line_40 0.18 m
line_40 0.167 m
line_338 0.185 m
line_338 0.165 m
line_338 0.19 m
line_338 0.157 m
line_338 0.207 m
line_646 0.178 m
line_646 0.155 m
line_646 0.22 m
line_646 0.155 m
line_646 0.207 m
line_627 0.145 m
line_627 0.133 m
line_627 0.14 m
line_627 0.157 m
line_627 0.154 m
line_409 0.197 m
line_409 0.17 m
line_409 0.196 m
line_409 0.188 m
line_409 0.186 m
line_357 0.184 m
line_357 0.176 m
line_357 0.156 m
line_357 0.137 m
line_357 0.21 m
line_810 0.194 m
line_810 0.151 m
line_810 0.18 m
line_810 0.177 m
line_810 0.21 m
line_821 0.167 m
line_821 0.18 m
line_821 0.172 m
line_821 0.165 m
line_821 0.187 m
line_310 0.149 m
line_310 0.153 m
line_310 0.166 m
line_310 0.188 m
line_310 0.165 m
line_727 0.137 m
line_727 0.151 m
line_727 0.131 m
line_727 0.164 m
line_727 0.141 m
line_227 0.212 m
line_227 0.182 m
line_227 0.187 m
line_227 0.212 m
line_227 0.202 m
line_335 0.159 m
line_335 0.165 m
line_335 0.158 m
line_335 0.153 m
line_335 0.176 m
line_374 0.181 m
line_374 0.184 m
line_374 0.157 m
line_374 0.144 m
line_374 0.181 m
line_348 0.182 m
line_348 0.148 m
line_348 0.171 m
line_348 0.16 m
line_348 0.182 m
line_879 0.168 m
line_879 0.147 m
line_879 0.155 m
line_879 0.156 m
line_879 0.142 m
line_911 0.127 m
line_911 0.141 m
line_911 0.127 m
line_911 0.13 m
line_911 0.133 m
line_138 0.209 m
line_138 0.214 m
line_138 0.215 m
line_138 0.207 m
line_138 0.228 m
line_443 0.161 m
line_443 0.144 m
line_443 0.126 m
line_443 0.144 m
line_443 0.15 m
line_85 0.11 m
line_85 0.129 m
line_85 0.141 m
line_85 0.114 m
line_85 0.112 m
line_461 0.131 m
line_461 0.12 m
line_461 0.147 m
line_461 0.2 m
line_461 0.167 m
line_855 0.119 m
line_855 0.136 m
line_855 0.148 m
line_855 0.153 m
line_855 0.145 m
line_491 0.163 m
line_491 0.177 m
line_491 0.154 m
line_491 0.154 m
line_491 0.151 m
line_801 0.108 m
line_801 0.11 m
line_801 0.118 m
line_801 0.117 m
line_801 0.139 m
line_563 0.162 m
line_563 0.145 m
line_563 0.165 m
line_563 0.164 m
line_563 0.139 m
line_332 0.198 m
line_332 0.174 m
line_332 0.161 m
line_332 0.171 m
line_332 0.162 m
line_738 0.177 m
line_738 0.184 m
line_738 0.168 m
line_738 0.158 m
line_738 0.155 m
line_101 0.191 m
line_101 0.162 m
line_101 0.163 m
line_101 0.172 m
line_101 0.149 m
line_790 0.192 m
line_790 0.134 m
line_790 0.178 m
line_790 0.155 m
line_790 0.149 m
line_589 0.131 m
line_589 0.128 m
line_589 0.139 m
line_589 0.13 m
line_589 0.144 m
line_319 0.167 m
line_319 0.146 m
line_319 0.16 m
line_319 0.137 m
line_319 0.121 m
line_786 0.129 m
line_786 0.102 m
line_786 0.148 m
line_786 0.136 m
line_786 0.149 m
line_321 0.217 m
line_321 0.206 m
line_321 0.216 m
line_321 0.19 m
line_321 0.193 m
line_630 0.145 m
line_630 0.171 m
line_630 0.145 m
line_630 0.144 m
line_630 0.134 m
line_375 0.168 m
line_375 0.221 m
line_375 0.178 m
line_375 0.207 m
line_375 0.16 m
line_787 0.149 m
line_787 0.136 m
line_787 0.147 m
line_787 0.155 m
line_787 0.13 m
line_362 0.162 m
line_362 0.161 m
line_362 0.204 m
line_362 0.206 m
line_362 0.177 m
line_799 0.12 m
line_799 0.19 m
line_799 0.129 m
line_799 0.158 m
line_799 0.125 m
line_41 0.167 m
line_41 0.172 m
line_41 0.196 m
line_41 0.21 m
line_41 0.186 m
line_239 0.197 m
line_239 0.195 m
line_239 0.207 m
line_239 0.127 m
line_239 0.183 m
line_105 0.134 m
line_105 0.129 m
line_105 0.148 m
line_105 0.13 m
line_105 0.125 m
line_392 0.128 m
line_392 0.125 m
